"","ATTEND.pred","CountyFP","DOCUMENT.pred","PLAN.pred","StateFP","STOCK.pred","EVAC.pred","DRILL.pred","TALK.pred","SEEK.pred","IDX.pred"
"1777",0.277963032240508,"34005",0.646409216650268,0.38659965033788,34,0.803997262669572,0.343828885754815,0.493840015274605,0.412438991070507,0.641183050931671,0.503851924587855
"1778",0.272050365239743,"34007",0.638849396101495,0.343600888640182,34,0.736621592153807,0.33242906989006,0.488206731129046,0.370748209951656,0.606697885266985,0.480050805575206
"1779",0.270957203771924,"34009",0.620384986774537,0.432451176808645,34,0.833826711374214,0.381268065847729,0.46037324275466,0.433533958147645,0.674520537232838,0.51337474989949
"1780",0.280706917960105,"34011",0.650042347429757,0.433816090737771,34,0.738626141908549,0.375884226641288,0.50839654542022,0.365757231850583,0.604042375792662,0.500281775079622
"1781",0.264359206564753,"34013",0.636264261968143,0.325518753729774,34,0.683431288187979,0.305240080034424,0.495328715010552,0.365825669714545,0.566942589319926,0.462616595788826
"1782",0.289471388473111,"34015",0.658358377882424,0.407667577141834,34,0.810892682923013,0.355185192879908,0.506940934795086,0.403219147750892,0.651782631473718,0.514808258225379
"1783",0.238029371401732,"34017",0.599794939785437,0.298134793307209,34,0.657394631845871,0.296159538824597,0.466939168182252,0.358346326759999,0.595797376024824,0.442568160658851
"1784",0.273549760754765,"34019",0.641735515375664,0.405584454284759,34,0.84323585705456,0.371940225240649,0.487418690996569,0.434168332389784,0.684459933805597,0.518466353881391
"1785",0.257346588383453,"34021",0.627519837313452,0.332666755675189,34,0.745360095794074,0.32720731239773,0.474554026641576,0.391028812196772,0.613625353687383,0.473804842393324
"1786",0.245859709184947,"34023",0.622784261339059,0.333427186207014,34,0.751028257479126,0.342370946342203,0.47270063645292,0.393067323810428,0.630235696473345,0.474216651645211
"1787",0.264252534717927,"34025",0.629756315646388,0.347929157305467,34,0.790166914454109,0.348920185121019,0.475641893506215,0.402556527214849,0.651524079140301,0.490943133002966
"1788",0.264017191493964,"34027",0.633594532561299,0.361243440100458,34,0.796382769097052,0.352091591944211,0.485753451794884,0.407143732764075,0.663471841278193,0.49647158365724
"1789",0.277595825366797,"34029",0.640907373815656,0.422529350282444,34,0.819459594494305,0.375811741360583,0.478339342088616,0.410903844158404,0.663104184191551,0.512896494014923
